Sample,X,Y,Z
0,0.129,-0.020,0.871
1,0.004,-0.031,0.941
2,0.012,-0.027,0.961
3,-0.012,-0.027,0.961
4,0.012,-0.023,0.965
5,-0.004,-0.020,0.957
6,0.012,-0.023,0.957
7,-0.012,-0.023,0.957
8,0.000,-0.027,0.969
9,0.004,-0.020,0.961
10,0.012,-0.027,0.969
11,-0.004,-0.012,0.957
12,0.008,-0.035,0.969
13,0.000,-0.020,0.953
14,0.016,-0.020,0.965
15,0.000,-0.016,0.957
16,0.008,-0.020,0.961
17,0.004,-0.023,0.953
18,-0.004,-0.023,0.961
19,0.004,-0.020,0.949
20,-0.035,0.000,1.008
21,0.008,-0.023,0.949
22,-0.004,-0.027,0.957
23,0.008,-0.027,0.953
24,-0.004,-0.020,0.965
25,0.012,-0.023,0.961
26,-0.004,-0.023,0.953
27,0.008,-0.027,0.961
28,-0.004,-0.023,0.957
29,0.008,-0.027,0.965
30,0.004,-0.023,0.961
31,0.020,-0.031,0.957
32,-0.012,-0.023,0.957
33,0.008,-0.031,0.957
34,-0.004,-0.023,0.961
35,0.008,-0.023,0.969
36,-0.004,-0.031,0.957
37,0.004,-0.027,0.961
38,0.000,-0.023,0.945
39,0.008,-0.023,0.957
40,0.012,-0.023,0.957
41,-0.004,-0.020,0.957
42,0.004,-0.016,0.957
43,0.000,-0.023,0.965
44,0.008,-0.016,0.965
45,0.000,-0.016,0.957
46,0.004,-0.023,0.961
47,0.004,-0.020,0.965
48,0.012,-0.020,0.957
49,-0.004,-0.020,0.961
50,0.012,-0.023,0.973
51,-0.004,-0.020,0.957
52,0.020,-0.031,0.957
53,-0.004,-0.016,0.957
54,0.008,-0.027,0.961
55,-0.004,-0.023,0.961
56,0.016,-0.023,0.957
57,0.000,-0.020,0.961
58,0.012,-0.027,0.957
59,-0.008,-0.027,0.957
60,0.020,-0.020,0.938
61,-0.004,-0.016,0.949
62,0.008,-0.031,0.965
63,-0.004,-0.023,0.953
64,0.012,-0.031,0.965
65,0.000,-0.020,0.961
66,0.008,-0.023,0.965
67,0.008,-0.020,0.949
68,0.000,-0.027,0.961
69,0.008,-0.020,0.949
70,0.000,-0.027,0.961
71,0.012,-0.016,0.953
72,0.012,-0.023,0.969
73,0.004,-0.020,0.957
74,-0.008,-0.020,0.957
75,0.008,-0.023,0.961
76,0.004,-0.020,0.961
77,0.012,-0.023,0.953
78,-0.004,-0.020,0.961
79,0.008,-0.027,0.969
80,0.000,-0.031,0.934
81,0.016,-0.043,0.949
82,0.000,-0.023,0.965
83,0.012,-0.020,0.961
84,-0.008,-0.016,0.953
85,0.016,-0.023,0.961
86,0.000,-0.020,0.961
87,0.012,-0.027,0.953
88,-0.012,-0.023,0.961
89,0.008,-0.023,0.973
90,0.004,-0.020,0.953
91,0.020,-0.020,0.961
92,-0.008,-0.027,0.957
93,0.004,-0.027,0.957
94,0.000,-0.020,0.961
95,0.012,-0.023,0.965
96,0.000,-0.027,0.945
97,0.000,-0.027,0.945
98,0.000,-0.023,0.957
99,-0.008,-0.020,0.961
100,-0.066,-0.012,0.949
101,-0.023,0.117,0.930
102,0.082,0.332,0.914
103,0.098,0.617,0.953
104,-0.008,0.719,0.980
105,-0.094,0.715,0.910
106,-0.109,0.699,0.840
107,0.004,0.898,0.809
108,0.117,1.137,0.926
109,0.145,1.250,0.922
110,-0.020,1.203,0.848
111,-0.137,1.066,0.820
112,-0.098,0.992,0.887
113,0.090,0.969,0.965
114,0.055,0.984,0.938
115,0.020,1.000,0.949
116,0.020,1.000,0.949
117,0.145,0.980,1.016
118,0.234,0.961,1.074
119,0.047,0.789,1.148
120,-0.309,0.480,1.141
121,-0.234,0.242,1.059
122,0.125,0.273,1.012
123,0.418,0.484,1.156
124,0.125,0.488,1.285
